Z9_mA_pEl_klod	Je mÅfappelle Claude 
A_l0_Ze_l9_kO_RE_mOR	Allonge le corps est mort 
puR_de_mi_lje	Pour des milliers 
se_tU_nOm_ki_n9_dOR_pA_	C'est un homme qui ne dort pas 
A_mwA_tje_plE_nE_la_fOR	A moitie pleine est l'amphore 
k0_lA_vwA_sa_ze_fE	Qu'on la voit sans effet 
vwAR_lA_vi_s0_ko_te_pil	Voir la vie son cote pile 
O_fi_lo_zo_fi	Oh philosophie 
di_lHi_de_ze_le_Zi	Dis-lui des elegies 
l2_bO_n9_REl_m9_fE_p9R	Le bonheur Elle me fait peur
dA_vwAR_ta_da_vi	D'avoir tant d'envies 
mwA_ZE_U_su_flA_k9R	Moi j'ai un souffle a c?ur 
sE_tyn_bEl_ZuR_ne	C'est une belle journee 
Z2_vE_m2_ku_Se	Je vais me coucher 
il_diz_k0_mAs_k9_no_p9R	Ils disent quÅfon masque nos peurs 
0_RA_sy_Re_0_su_Ri	On rassure et on sourit 
il_n2_fo_pA_k0_nu_bli	Il ne faut pas qu'on oublie 
l9_bo_ta_A_pRE_lA_plHi	Le beau temps apres la pluie 
e_kEs_k0_fE	Et qu'est qu'on fait ? 
ty_pRa_dRA_l9_pRo_SU	Tu prendras le prochain 
U_tA_kos_tRwA_vjad	Un tacos trois viande 
syR_lo_tR2_kE	Sur l'autre quai 
no_kOR_se_gRa_vwA_jA_Z9R	Nos corps ces grands voyageurs 
vo_sot_dy_m9R	Vos sautes d'humeurs 
vRE_ma_sa_zA_RE	Vraiment sans arret 
0_so_vlA_po_d2_luRs_	On sauve la peau de l'ours 
A_va_d2_lA_vwAR_tHe	Avant de l'avoir tue 
Z9_R2_si_kl2_le_m9bl	Je recycle les meubles 
e_va_lA_mE_z0	Et vends la maison 
puR_mE_tRU_no_tEl	Pour mettre un hotel 
Ry_d2_lA_pE	rue de la paix 
U_m0_du_tu_lm0d_sE_m2_RE	Un monde ou tout lÅfmonde s'aimerait 
ZA_SE_tU_SA_to_a_nEs_pAJ	J'achete un chateau en Espagne 
da_s0_nE_spRi_ki_di_vAg	Dans son esprit qui divague 
Z2_m9_pER_da_te_Zj2	Je me perds dans tes yeux 
Z2_m2_nwA_da_lA_vAg	Je me noie dans la vague 
d2_t0_R2_gA_RA_mu_R2	De ton regard amoureux 
Z2_n2_v2_k2_t0_nAm	Je ne veux que ton ame  
di_vA_ga_syR_mA_po	Divaguant sur ma peau 
Z2_n2_sHi_k2_t0_n0bR	Je ne suis que ton ombre 
l2_su_fl2_la_si_na	Le souffle lancinant 
A_ni_me_la_t2_ma	Animes lentement 
Z2_Re_zO_na_bE_ze	Je raisonne en baisers 
l2_l0_d2_tA_pwA_tRin	Le long de ta poitrine 
pER_dy_da_lA_vA_laS	Perdu dans l'avalanche 
ki_E_ty	Qui es-tu ? 
u_e_ty	Ou es-tu ? 
fOR_mA_tle_sa_ti_ma	Formate les sentiments 
mE_Zi_mA_Zin_kyn_mA_Sin	Mais j'imagine qu'une machine 
n2_p2_k2_fER_sa_bla	Ne peut que faire semblant 
tRwA_mwU_zU_fE_d2	Trois moins un fait deux 
kA_tR9_vU_diz_n9f	Quatre vingt dix neuf 
l2_p0_dy_so_lEj	Le pont du soleil 
bHi_s0_d2_ka_pAJ	Buisson de campagne 
Jo_ki_A_lA_Ri_ko_tA	Gnocchis a la ricotta 
stRo_bos_ko_pik	Stroboscopique 
pU_o_So_ko_lA_	Pain au chocolat 
SO_ko_lA_ti_nAb_sta_sj0	Chocolatine Abstention 
lA_bAl_R0d	La balle ronde 
StRuv_pA_tA_mE_z0	jÅftrouve pas ta maison 
sEt_plys_tRwA_f0_dis	sept plus trois font dix 
kaZ_R2_vjU_dRE	Quand jÅfreviendrai 
le_SjU_SE_bjU	Les chiens cÅfest bien 
dE_J2_RA_til_k0_te_le_ZuR	Daignera-t-il compter les jours 
Ab_do_mi_no_Al_bA_tOR	Abdominaux  Albator 
kAZ_bAl_fu_tAd_bo_dU_d0	Cage balle foot Ta dÅfbeau dindons
kAl_pORt_so_lEj_sjEl	Cale porte Soleil ciel
gAJ_pU_As_mA_tik	Gagne pain Asmathique  
tA_bl9_d2_bAR_VEj_tAR_s2_swAR	Table de bar Veille tard ce soir
l2_zwAv_kRwA_U_dZOb_mOS	Le zouave crois un job moche
gAJ_l2_pAR_bRiz	Gagne le pare brise 
AS_p2_pAl_sHi_vRo_lwU	Ah jÅfpeux pas lÅfsuivre au loin 
il_kHi_lA_tRHit	Il cuit la truite 
it_fE_fER_k2_dy_bRHi	Y tÅffais faire que du bruit 
lAk_t9_RE_svElt	LÅfacteur est svelte 
dUd_fARs_gRi_je	Dinde Farce Grille 
tAb_gAb_SA	Tab Gab Chat 
tOR_fREd_SA	Thor Fred Chat 
dAl_va_AS_tRwA_	Dalle vent hache trois 
gAb_Zu_A_lA_k0_sOl	Gab joue a la console 
il_tAp_kEl_kU	Il tape quelquÅfun 
bAz_s2_kREt	Base secrete 
maZ_da_t0_nA_sjEt	Mange dans ton assiette 
gAb_kul_tOm_nAZ_bRHid_ku_lwAR	Gab coule Tom nage Bruit dÅfcouloir 
yn_kuRb_fin	Une courbe fine 
tu_bib_ze_bRe	toubib zebre 
kuRb_Jo_ki	Courbe Gnocchis 
t0b_te_bAl	Tombent tes balles 
gAb_nHi_zibl	Gab nuisible
kuRb_vi_tAl_gA_lOp	courbe vitale galope 
bad_gE_nat_mA_Rat	bande gainante marrante 
bad_ze_bRe_pRe_fe_Re	bande zebree preferee 
bad_pA_sat_gAf_zU_zo_lU	bande passante gaffe zinzolin 
yn_gRad_Soz_vERt	une grande chose verte 
il_m2_gR0d_mwA	il me gronde moi 
bA_lAd_nOR_mAl	Balade normale 
bAd_tRip_mA_Zik	Bad trip magique 
glad_vi_tAl_ze_bRe	glande vitale zebree 
l2_b9f_bl9f	le boeuf bluff 
